id,ACTION
1,0.7954740120294453
2,0.9949194588445471
3,0.9685306671164376
4,0.9173397060129819
5,0.9941909568778715
6,0.9957391836002631
7,0.9753287096547465
8,0.9904805045495804
9,0.9264788851874486
10,0.957952561832615
11,0.9280924715971199
12,0.9485504008311004
13,0.8611643846992567
14,0.8855227909835615
15,0.9747807730215354
16,0.9850090049851319
17,0.9441915260152656
18,0.8177446749388497
19,0.9845720585869185
20,0.9545038501592049
21,0.937707134848849
22,0.983118641579471
23,0.8965986533833986
24,0.9313144366253512
25,0.9187996662747321
26,0.9327453576272873
27,0.9612498374124483
28,0.5680133492444573
29,0.9690815872392624
30,0.9329099281660211
31,0.9717296388656976
32,0.9285999801700298
33,0.9490685307686385
34,0.9731511794538523
35,0.9643840778414544
36,0.991736373734002
37,0.9649934314192797
38,0.9250834784974936
39,0.944224663881181
40,0.9165598500640932
41,0.9375741931681418
42,0.9781985902383774
43,0.9828156937729513
44,0.97240746014862
45,0.8925140522079725
46,0.9332787441984582
47,0.9986391959341404
48,0.9657287252251353
49,0.9838338195036105
50,0.9653874589719624
51,0.9784195136897281
52,0.9708009048496967
53,0.9707994726895169
54,0.9989816857417637
55,0.9497720378138291
56,0.8098094818721758
57,0.9742249989147256
58,0.9833233514245806
59,0.9880192170955502
60,0.9605616245314094
61,0.9105933195076618
62,0.8860601793090431
63,0.9846398120749192
64,0.9804751169114408
65,0.9778283074138073
66,0.9661055634170309
67,0.9152542481072475
68,0.9891984396961773
69,0.9361825665025655
70,0.9032927172914114
71,0.9444816498879081
72,0.9961065489923696
73,0.948208319307093
74,0.9756145703781403
75,0.9854534768613767
76,0.9916560160910782
77,0.9727214426131189
78,0.9335629131826978
79,0.7996293067313044
80,0.9582262798775509
81,0.9593444049644471
82,0.9374341759234537
83,0.9229265096169733
84,0.9842382317150183
85,0.8984518196169119
86,0.8281272845821166
87,0.9437509014451638
88,0.920826637187742
89,0.9520084961483145
90,0.8488771052459458
91,0.89984520061089035
92,0.9713137182608158
93,0.9815138470413056
94,0.8595853875590284
95,0.9541513853856872
96,0.8672106448656189
97,0.8842202763114418
98,0.9644457940294842
99,0.9772296152034209
100,0.9585213699076875
101,0.9426416593813165
102,0.8995089003432502
103,0.9464950340361025
104,0.9406010909315384
105,0.9049680911690007
106,0.9960168657719171
107,0.990432734189705
108,0.9218109438201476
109,0.9805118157294196
110,0.9113146144619845
111,0.9087581296772528
112,0.9669723926248589
113,0.9125815288479989
114,0.9406132474149578
115,0.9698037868719265
116,0.9604629816128568
117,0.942675639283888
118,0.9923711521587939
119,0.9976522139727518
120,0.9719913774492533
121,0.9846116504469895
122,0.9500534116490202
123,0.8688801411126638
124,0.9514863623142633
125,0.9695774413657708
126,0.8872199615042052
127,0.9084115387839771
128,0.9067119180730723
129,0.7187174480426035
130,0.876304080649668
131,0.9961202555023586
132,0.9759535319145789
133,0.9072095346033806
134,0.910193510491544
135,0.9886405308432245
136,0.9275746006957178
137,0.9776280788336501
138,0.9361353575187711
139,0.9010738233151396
140,0.9902188909904067
141,0.8441058624418207
142,0.8496416256762221
143,0.9751112261911351
144,0.9497284895580292
145,0.9892563725435198
146,0.8423284705863798
147,0.8531176971847583
148,0.9222962377353677
149,0.9798606475462349
150,0.9817786801289757
151,0.9680366525729867
152,0.9533703366802181
153,0.9402728294584167
154,0.9330119519409297
155,0.9167594220767129
156,0.9695648629150029
157,0.8882865876109244
158,0.9395519868510092
159,0.9420584479994092
160,0.9588165534760408
161,0.8535950650217924
162,0.9940932453818123
163,0.9487204857958402
164,0.9390334385569892
165,0.985891737957735
166,0.9998662058295705
167,0.9336932172550017
168,0.9410807677345098
169,0.9593602098379724
170,0.9858662657144082
171,0.9726018268654327
172,0.9245665169045093
173,0.9862076698518357
174,0.9500748183892759
175,0.9757737674251878
176,0.9864326639471552
177,0.9636320061263043
178,0.9823270067815345
179,0.9211237165991517
180,0.8531176971847583
181,0.9007299588773245
182,0.876304080649668
183,0.9884978473081976
184,0.9199544568820988
185,0.9599370374521234
186,0.91957450814038
187,0.9810182720154152
188,0.9824194077900765
189,0.9683104062851139
190,0.971627257913954
191,0.9999962578572266
192,0.8929775794664331
193,0.9966598288328301
194,0.9848655456186705
195,0.9720862465589497
196,0.9910853990922787
197,0.9882136070892642
198,0.9445802598598421
199,0.9586940608267553
200,0.80033589676141
201,0.9791778542735371
202,0.8722698827792796
203,0.9608605182059387
204,0.9297314300099702
205,0.9869940562099835
206,0.9664821648617861
207,0.9828507138556781
208,0.9372980082784036
209,0.8338680784559603
210,0.959273729185538
211,0.9569351896815476
212,0.9191603128853199
213,0.9969359313524354
214,0.9385420919950208
215,0.9360887922596369
216,0.9550327189808056
